eval/episode_length,eval/episode_length_std,eval/episode_reward,eval/episode_reward_std,eval/pick_success,holdout_loss,loss,timestep
40.0,0.0,0.0,0.0,0.0,-0.06787708012393087,0.06047248607797985,628
40.0,0.0,0.0,0.0,0.0,0.11506071598802918,0.10319022625494921,1256
40.0,0.0,0.0,0.0,0.0,-0.1206823814388551,0.16617868991366996,1884
40.0,0.0,0.0,0.0,0.0,-0.4570867207567175,-0.6103734799251439,2512
40.0,0.0,0.0,0.0,0.0,-0.4346815532315852,-0.6312756265044968,3140
40.0,0.0,0.0,0.0,0.0,-0.654569637019982,0.10593945964886138,3768
40.0,0.0,0.0,0.0,0.0,-0.22644981977701875,-1.0124355379942873,4396
40.0,0.0,0.0,0.0,0.0,-0.26160445706073504,-0.6099982796960572,5024
40.0,0.0,0.0,0.0,0.0,-0.750336754414591,0.48560476682748005,5652
40.0,0.0,0.0,0.0,0.0,-0.21132047607928253,0.5598582534273718,6280
40.0,0.0,0.0,0.0,0.0,-0.18579873455922674,0.11309835257803556,6908
40.0,0.0,0.0,0.0,0.0,-0.38082133337357105,-0.84104541076976,7536
40.0,0.0,0.0,0.0,0.0,-0.12579016157523787,0.16430080183752013,8164
40.0,0.0,0.0,0.0,0.0,-0.19684865433466175,-0.9438978133687542,8792
40.0,0.0,0.0,0.0,0.0,-0.7632648136769273,-0.9602294879354487,9420
40.0,0.0,0.0,0.0,0.0,-0.6186884055770546,0.1971708416559136,10048
40.0,0.0,0.0,0.0,0.0,-0.7389329388236415,-1.202199468946761,10676
40.0,0.0,0.0,0.0,0.0,-0.9946784033932403,-1.2947557754577348,11304
40.0,0.0,0.0,0.0,0.02,-1.2344740924461004,-1.2628337744694618,11932
40.0,0.0,0.0,0.0,0.0,-1.315723004139909,-1.3931229623260009,12560
40.0,0.0,0.0,0.0,0.0,-1.291915345153993,-1.2046032650455547,13188
40.0,0.0,0.01,0.09949874371066199,0.03,-1.2462394538151587,-1.4114477490163906,13816
40.0,0.0,0.02,0.13999999999999999,0.02,-1.2966380602425067,-1.431946563113267,14444
40.0,0.0,0.0,0.0,0.0,-1.3717330112388937,-1.4783822556210173,15072
40.0,0.0,0.0,0.0,0.01,-1.3547178096831975,-1.4879859161984388,15700
40.0,0.0,0.0,0.0,0.0,-1.3260397314076218,-1.3166630184574497,16328
40.0,0.0,0.04,0.19595917942265423,0.08,-1.4201697689142956,-1.5330111813393374,16956
40.0,0.0,0.11,0.31288975694324034,0.14,-1.4698584182247243,-1.5591169086990844,17584
40.0,0.0,0.18,0.38418745424597095,0.2,-1.4915942794578074,-1.5686186415374652,18212
40.0,0.0,0.09,0.2861817604250837,0.19,-1.442534752237566,-1.5497891166407596,18840
40.0,0.0,0.37,0.4828043081829324,0.39,-1.5183251167938219,-1.5634514662870178,19468
40.0,0.0,0.32,0.46647615158762396,0.34,-1.5825591062664233,-1.6062314882399933,20096
40.0,0.0,0.43,0.4950757517794625,0.45,-1.5693849468496939,-1.5999830619544735,20724
40.0,0.0,0.21,0.4073082370883261,0.26,-1.6086672721015425,-1.6009928610674138,21352
40.0,0.0,0.0,0.0,0.0,-1.6000594329682118,-1.447424195374653,21980
40.0,0.0,0.14,0.34698703145794946,0.17,-1.6126506856292695,-1.555543715786782,22608
40.0,0.0,0.33,0.47021271782034985,0.37,-1.6136307050088396,-1.6398957345136391,23236
40.0,0.0,0.41,0.4918333050943175,0.45,-1.6316568528770623,-1.6573598832841132,23864
40.0,0.0,0.53,0.49909918853871116,0.54,-1.6375566071765464,-1.6384428078961224,24492
40.0,0.0,0.44,0.49638694583963433,0.44,-1.6470010088887188,-1.6630765693202907,25120
40.0,0.0,0.29,0.4537620521815371,0.32,-1.6501668720108678,-1.662689916647164,25748
40.0,0.0,0.24,0.4270831300812525,0.33,-1.6566900609025512,-1.6604817232508575,26376
40.0,0.0,0.42,0.49355850717012273,0.44,-1.654264476648563,-1.6490851048451323,27004
40.0,0.0,0.3,0.45825756949558394,0.32,-1.6621915990379938,-1.6428451378634021,27632
40.0,0.0,0.31,0.462493243193887,0.32,-1.6654292950584613,-1.6617560158869267,28260
40.0,0.0,0.21,0.4073082370883261,0.28,-1.6670976831654827,-1.634020465194801,28888
40.0,0.0,0.26,0.4386342439892261,0.3,-1.669302117482875,-1.6720969479554773,29516
40.0,0.0,0.36,0.48,0.37,-1.6706375606880075,-1.6717727017250794,30144
40.0,0.0,0.44,0.4963869458396343,0.43,-1.675099289151512,-1.6775464988817839,30772
40.0,0.0,0.44,0.49638694583963433,0.49,-1.6782108420019681,-1.6838876001394485,31400
40.0,0.0,0.47,0.49909918853871116,0.5,-1.676369473053389,-1.6754590310868194,32028
40.0,0.0,0.25,0.4330127018922193,0.29,-1.6748074553195094,-1.6820143339740243,32656
40.0,0.0,0.42,0.49355850717012273,0.45,-1.6822637604300383,-1.6846641332480545,33284
40.0,0.0,0.35,0.4769696007084727,0.38,-1.6824525797822676,-1.683960840960217,33912
40.0,0.0,0.32,0.46647615158762396,0.34,-1.6806040575170202,-1.6773756734884475,34540
40.0,0.0,0.41,0.49183330509431744,0.44,-1.6855447755497739,-1.6794184567821997,35168
40.0,0.0,0.47,0.49909918853871116,0.5,-1.684216892643338,-1.6890066831734518,35796
40.0,0.0,0.47,0.49909918853871116,0.48,-1.6896181017350231,-1.685526216865344,36424
40.0,0.0,0.28,0.44899888641287294,0.33,-1.688261033053614,-1.675877543012048,37052
40.0,0.0,0.35,0.47696960070847283,0.36,-1.6887703553126865,-1.696001911618907,37680
40.0,0.0,0.47,0.4990991885387111,0.52,-1.6885962698869652,-1.6927809009126813,38308
40.0,0.0,0.36,0.48,0.37,-1.6917802186528614,-1.6978686448115452,38936
40.0,0.0,0.42,0.49355850717012273,0.43,-1.6923822528997041,-1.6990121937101814,39564
40.0,0.0,0.36,0.48,0.4,-1.6919300489744578,-1.6850413182738486,40192
40.0,0.0,0.37,0.4828043081829324,0.41,-1.6936269172817284,-1.6981293881774704,40820
40.0,0.0,0.23,0.4208325082500163,0.25,-1.6919314141865716,-1.690447290232226,41448
40.0,0.0,0.33,0.47021271782034985,0.35,-1.6925836852781329,-1.6992776416669233,42076
40.0,0.0,0.49,0.49989998999799945,0.56,-1.6951175499114262,-1.6990296734366446,42704
40.0,0.0,0.46,0.49839743177508444,0.48,-1.6960696135736586,-1.691801761366,43332
40.0,0.0,0.41,0.4918333050943175,0.45,-1.6968646660731868,-1.6970499435048192,43960
40.0,0.0,0.36,0.48,0.37,-1.6994689980130318,-1.702059376011987,44588
40.0,0.0,0.5,0.5,0.51,-1.697637694087,-1.6999313930037674,45216
40.0,0.0,0.43,0.4950757517794625,0.45,-1.7000000968480562,-1.6972874365035142,45844
40.0,0.0,0.4,0.48989794855663565,0.48,-1.699615945292127,-1.6984811512527955,46472
40.0,0.0,0.42,0.49355850717012273,0.45,-1.7012119304602316,-1.7014922404744819,47100
40.0,0.0,0.24,0.4270831300812525,0.25,-1.701693901780303,-1.6983538531953355,47728
40.0,0.0,0.36,0.48000000000000004,0.39,-1.7019197862998698,-1.7015778820985445,48356
40.0,0.0,0.43,0.49507575177946245,0.44,-1.7035129273393363,-1.7002330221188302,48984
40.0,0.0,0.39,0.4877499359302879,0.43,-1.7030524958850464,-1.673165426132785,49612
40.0,0.0,0.52,0.4995998398718718,0.54,-1.705130065132856,-1.7022266592949067,50240
40.0,0.0,0.32,0.46647615158762396,0.35,-1.7045721189611236,-1.6996457098395954,50868
40.0,0.0,0.43,0.4950757517794625,0.43,-1.7028348969805764,-1.6941217077765494,51496
40.0,0.0,0.5,0.5,0.55,-1.7073227949203196,-1.7030312050679686,52124
40.0,0.0,0.33,0.47021271782034985,0.35,-1.7049095030802823,-1.703574859412613,52752
40.0,0.0,0.39,0.487749935930288,0.44,-1.7055221885252885,-1.688683446045894,53380
40.0,0.0,0.36,0.48,0.39,-1.7090711064019792,-1.684610495142115,54008
40.0,0.0,0.5,0.5,0.52,-1.7080132323465533,-1.6974748813422633,54636
40.0,0.0,0.4,0.48989794855663565,0.43,-1.7086692814994013,-1.692527559152834,55264
40.0,0.0,0.39,0.48774993593028787,0.4,-1.7104772073068433,-1.6996667506588496,55892
40.0,0.0,0.41,0.49183330509431744,0.42,-1.7098174731063216,-1.7043783285055951,56520
40.0,0.0,0.4,0.48989794855663565,0.4,-1.7096125940988,-1.6894056660354528,57148
40.0,0.0,0.36,0.48,0.36,-1.7107292147958353,-1.678994274443121,57776
40.0,0.0,0.33,0.47021271782034985,0.34,-1.712569718148298,-1.7018367621549382,58404
40.0,0.0,0.36,0.48,0.38,-1.713399349314391,-1.7036548609946203,59032
40.0,0.0,0.39,0.4877499359302879,0.4,-1.7134546759022253,-1.6971082899980472,59660
40.0,0.0,0.34,0.4737087712930805,0.35,-1.7129154188238127,-1.701528070838587,60288
40.0,0.0,0.38,0.48538644398046393,0.39,-1.713011431656066,-1.6925414337474058,60916
40.0,0.0,0.51,0.4998999899979995,0.52,-1.7150158741671602,-1.692861031954456,61544
40.0,0.0,0.5,0.5,0.51,-1.7150669769876297,-1.6853881770638144,62172
40.0,0.0,0.42,0.49355850717012273,0.44,-1.7151633742128947,-1.6761563796146663,62800
40.0,0.0,0.39,0.4877499359302879,0.41,-1.7165188052851676,-1.694237021883581,63428
40.0,0.0,0.34,0.4737087712930805,0.38,-1.7177182568866003,-1.6626033190709004,64056
40.0,0.0,0.29,0.4537620521815371,0.3,-1.7178304339670067,-1.6265858016955628,64684
40.0,0.0,0.45,0.49749371855331,0.46,-1.7168488367727586,-1.673154204514376,65312
40.0,0.0,0.43,0.4950757517794625,0.44,-1.717215687036512,-1.6781517381121396,65940
40.0,0.0,0.44,0.49638694583963433,0.44,-1.7189740770182047,-1.6951337130206405,66568
40.0,0.0,0.4,0.48989794855663565,0.41,-1.7196176754441241,-1.6875006021208063,67196
40.0,0.0,0.43,0.4950757517794625,0.43,-1.7190884655448282,-1.6753955084806795,67824
40.0,0.0,0.26,0.4386342439892262,0.28,-1.7195362744817324,-1.6538108108909264,68452
40.0,0.0,0.34,0.4737087712930805,0.35,-1.7210856501463878,-1.671854186969199,69080
40.0,0.0,0.35,0.4769696007084728,0.36,-1.721189376085426,-1.673399888026488,69708
40.0,0.0,0.44,0.49638694583963433,0.44,-1.7205198401478445,-1.630535515250674,70336
40.0,0.0,0.3,0.45825756949558394,0.31,-1.722278170145243,-1.6696427134191898,70964
40.0,0.0,0.3,0.45825756949558394,0.31,-1.722241217923012,-1.510812587039483,71592
40.0,0.0,0.39,0.4877499359302879,0.39,-1.7233472090617856,-1.5985197709624168,72220
40.0,0.0,0.35,0.47696960070847283,0.37,-1.7235382563748942,-1.3918271095130093,72848
40.0,0.0,0.38,0.48538644398046393,0.38,-1.7239014018493097,-1.4417231006986775,73476
40.0,0.0,0.32,0.46647615158762396,0.35,-1.7247700370421044,-1.1973705299341,74104
40.0,0.0,0.46,0.49839743177508444,0.46,-1.723840461984561,-1.0517978554318665,74732
40.0,0.0,0.43,0.4950757517794625,0.43,-1.7248801592808616,-1.5283224385255458,75360
40.0,0.0,0.32,0.46647615158762396,0.32,-1.7248976663419382,-1.5516360337567168,75988
40.0,0.0,0.43,0.4950757517794625,0.44,-1.7260312259576882,-1.174983431579201,76616
40.0,0.0,0.37,0.4828043081829324,0.4,-1.726605323659386,-1.1329768060878584,77244
40.0,0.0,0.44,0.4963869458396343,0.44,-1.7265676489681192,-1.1815442059450083,77872
40.0,0.0,0.29,0.45376205218153715,0.29,-1.727186470274713,-1.2903107753984482,78500
40.0,0.0,0.28,0.44899888641287294,0.31,-1.7280378360657167,-0.13406329170154152,79128
40.0,0.0,0.29,0.4537620521815371,0.32,-1.7283658335922611,-0.5978927680641221,79756
40.0,0.0,0.26,0.4386342439892262,0.28,-1.728530905428968,-1.3703935374120235,80384
40.0,0.0,0.41,0.49183330509431744,0.45,-1.7298966756292178,-0.34859901780535435,81012
40.0,0.0,0.44,0.4963869458396343,0.46,-1.729283707916357,-1.370087265968322,81640
40.0,0.0,0.35,0.4769696007084728,0.35,-1.729825087983136,-0.3108490652339482,82268
40.0,0.0,0.46,0.49839743177508444,0.47,-1.7301844180009927,-0.4266152397082864,82896
40.0,0.0,0.35,0.4769696007084728,0.39,-1.7307290797400596,-0.6065818982519173,83524
40.0,0.0,0.39,0.4877499359302879,0.41,-1.7307718806206032,1.449274423016104,84152
40.0,0.0,0.36,0.48,0.41,-1.7312560351031612,2.1862953893697954,84780
40.0,0.0,0.36,0.48000000000000004,0.37,-1.7313036962299604,0.34897520208054983,85408
40.0,0.0,0.39,0.4877499359302879,0.39,-1.7321751026590928,0.9650458074679054,86036
40.0,0.0,0.55,0.49749371855331,0.56,-1.733045176146136,4.758821683324828,86664
40.0,0.0,0.31,0.462493243193887,0.34,-1.7331516080221527,0.03365533443013484,87292
40.0,0.0,0.33,0.47021271782034985,0.32,-1.7335956385181215,-0.7043544281819835,87920
40.0,0.0,0.33,0.4702127178203499,0.35,-1.733766064332549,-0.20036242949734856,88548
40.0,0.0,0.44,0.49638694583963433,0.45,-1.7338761142484693,2.8599544550962537,89176
40.0,0.0,0.4,0.4898979485566356,0.4,-1.7351071802294176,1.1220582860290604,89804
40.0,0.0,0.46,0.49839743177508444,0.46,-1.734546486359493,-1.067236207852698,90432
40.0,0.0,0.38,0.48538644398046393,0.39,-1.7354067178668515,-0.44203178821855377,91060
40.0,0.0,0.4,0.48989794855663565,0.41,-1.735267585250223,0.8127792694006754,91688
