holdout_loss,loss,timestep,eval/episode_length,eval/episode_length_std,eval/episode_reward,eval/episode_reward_std,eval/pick_success
0.16299223465075602,0.3962084658586294,627,,,,,
-0.42777816884656444,-0.8388745978379712,1254,,,,,
0.0013250821393334259,-0.3943015124387802,1881,,,,,
-0.22577099007757825,-0.6438759007271689,2508,,,,,
-0.6288678658735508,-1.071580031115536,3135,,,,,
-1.1105992476525672,-1.2263104611900957,3762,,,,,
-1.1659448582209648,-1.3036824123115291,4389,,,,,
-1.3100020992888965,-1.3945515322837085,5016,,,,,
-1.3475968466991446,-1.419718145564862,5643,,,,,
-1.3232319366418575,-1.4478385129551996,6270,,,,,
-1.4074896764146831,-1.371047759511668,6897,,,,,
-1.4569151120132617,-1.4904595104752079,7524,,,,,
-1.3490377079927176,-1.0574682085377385,8151,,,,,
-1.432378186088237,-1.4898703356457355,8778,,,,,
-1.512149380915094,-1.4086436169921974,9405,,,,,
-1.4125172713536764,-1.553992595642235,10032,,,,,
-1.5474227161118468,-1.5564181721134565,10659,,,,,
-1.5606166928578786,-1.5752123434832133,11286,,,,,
-1.576194263721385,-1.5342097608906455,11913,,,,,
-1.5739882918255947,-1.5378363565274864,12540,,,,,
-1.5838625528025287,-1.6041811932424086,13167,,,,,
-1.5867397007569546,-1.6048402482536936,13794,,,,,
-1.5922077304818765,-1.610671012264907,14421,,,,,
-1.616397589967962,-1.6229553070797287,15048,,,,,
-1.6209490196556566,-1.5922870180409423,15675,,,,,
-1.6262959112581108,-1.6375856893077767,16302,,,,,
-1.637985428554589,-1.653821075797839,16929,,,,,
-1.6360474330576598,-1.6526809353737322,17556,,,,,
-1.6420755042223638,-1.6524506944000334,18183,,,,,
-1.6462418445559774,-1.6654650709431638,18810,,,,,
-1.6439588001470247,-1.6305022004303662,19437,,,,,
-1.6503258281917652,-1.6664960073058002,20064,,,,,
-1.653656786328489,-1.6661641552190107,20691,,,,,
-1.656892850258325,-1.6548916678519763,21318,,,,,
-1.6578945343574272,-1.6539329161309897,21945,,,,,
-1.6547631975946635,-1.641664203564832,22572,,,,,
-1.6607729635740587,-1.665177647475224,23199,,,,,
-1.6614085544239388,-1.6584791256363984,23826,,,,,
-1.6609078575359395,-1.6191164604417831,24453,,,,,
