loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.011626093,-46.8289814719242,1
0.0116509525,-59.51519900575781,2
0.011721946,-62.651030833715,3
0.011734499,-65.16927127197424,4
0.011737807,-66.96411926801815,5
0.01165097,-68.69903950358547,6
0.011771216,-70.16475357627375,7
0.011813735,-70.87956387128017,8
0.011785959,-71.63590933925421,9
0.011795975,-71.42703229327535,10
0.011778918,-72.90588770233076,11
0.011741254,-73.16143683992924,12
0.0118005285,-72.69192520900599,13
0.011916309,-68.56061016866403,14
0.011913476,-71.48314938311121,15
0.011921862,-73.88200158111809,16
0.011880729,-74.9262358815787,17
0.011849543,-75.89128690418963,18
