loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.004279472,-45.19592323383311,1
0.004179993,-58.816700952613694,2
0.0041194092,-62.203720556057085,3
0.004086159,-64.2618939451469,4
0.004067824,-66.73528088710104,5
0.0040576607,-67.95501338850312,6
0.0040427474,-69.67041322180775,7
0.0040754294,-70.62463004336493,8
0.004071881,-69.72692705987343,9
0.0040566977,-72.83057678084657,10
0.0040505766,-72.94810370511787,11
0.0040342594,-69.37529955230634,12
0.0040146867,-69.17071742173621,13
0.0040273415,-72.22874583754428,14
0.004004743,-71.59760470599784,15
0.0040009925,-73.0157449263935,16
0.004014847,-74.9786552705198,17
0.004027081,-76.7574005324095,18
0.004034548,-77.09693462164827,19
0.004007863,-75.52706807158714,20
0.0039949184,-74.98577128269876,21
0.0040109223,-78.20144253614953,22
0.0040326244,-75.60124294887217,23
